run,event,pip_rec_px,pip_rec_py,pip_rec_pz,pip_lund_px,pip_lund_py,pip_lund_pz,theta_lund_deg,theta_rec_deg,pip_rec_vx,pip_rec_vy,pip_rec_vz,pip_lund_vx,pip_lund_vy,pip_lund_vz,rec_track_detector_list,rec_traj_detector_list,rec_scintillator_detector_component,rec_particle_pid_list
11,210,0.0820038,0.629866,0.803819,0.073447,0.660251,0.836253,38.4638,38.316,0.00776986,-0.0243996,-2.15223,0,0,-3.36647,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,0,211,2112"
11,4338,-0.468923,0.435994,0.811992,-0.563468,0.494676,0.866121,40.8827,38.2576,-1.17757,-1.32614,-5.9975,0,0,-6.01842,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:51","11,211,2112,22"
11,3097,0.382821,-0.574896,0.864322,0.482262,-0.662373,0.985682,39.7347,38.6289,-2.56469,-1.68042,-5.97634,0,0,-4.75212,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:17,12:46","11,2212,211,22,22"
11,1294,0.6192,-0.39344,0.907647,3.98843,-0.001905,2.5793,57.1094,38.9475,3.68215,5.8488,-19.8692,0,0,-0.82302,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:22,12:57","11,45,211,2112,2112,2112,2112"
11,2638,0.420283,0.529125,0.835741,0.11232,-0.282961,1.49613,11.5018,38.9569,2.66014,-2.1343,19.992,0,0,-3.31068,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,2112"
11,3888,0.728628,-0.115361,0.933547,0.743565,-0.105607,0.964634,37.903,38.3164,-0.174552,-0.92006,-0.910203,0,0,-1.61902,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,0,211,2112"
11,3204,-0.266136,0.589486,0.82121,-0.328391,0.632049,0.85872,39.6741,38.2237,-1.50153,-0.70171,-3.14658,0,0,-3.13802,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:46","11,321,211"
11,1046,-0.560025,-0.311121,0.7961,-0.579974,-0.348738,0.852801,38.4341,38.8246,0.469951,-0.757088,-0.106837,0,0,-5.05355,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:53","11,0,211"
11,4193,-0.573776,0.40984,0.889466,-1.29145,0.210626,1.57083,39.7947,38.4053,-7.0418,-9.95773,3.17871,0,0,-3.82251,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:1","11,2212,211,2112,2112"
11,3542,0.0992542,0.688079,0.859427,-0.224328,1.6193,1.99655,39.3104,38.9698,-1.08846,0.139806,-2.15503,0,0,-3.25229,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:54","11,2212,211,2112,22"
11,4935,0.67651,0.206141,0.892625,0.677233,0.228927,0.910832,38.1271,38.3895,-0.118286,0.278389,-0.855503,0,0,-5.83525,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,0,211"
11,269,0.39374,-0.577327,0.879948,0.428919,-0.594832,0.920787,38.535,38.4549,0.987318,0.699158,-0.285401,0,0,-3.88096,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:48","11,0,211"
11,1172,0.575864,-0.293581,0.81067,0.580523,-0.291974,0.811193,38.6967,38.5668,-0.106527,-0.159763,-0.437197,0,0,-4.82899,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,0,22"
11,4073,-0.611847,0.322443,0.880386,-0.610799,0.320432,0.896411,37.5767,38.1524,0.189792,0.299729,-1.47467,0,0,-0.903042,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,0,211"
11,1000,-0.110899,-0.625682,0.785047,0.73889,-3.30363,4.4287,37.3939,38.9875,1.44039,-0.23002,-2.6709,0,0,0.396383,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,45,211,2112,2112,2112,2112,22"
11,2004,-0.662158,-0.0180047,0.839126,-0.714132,-0.050046,0.879092,39.1574,38.2874,0.0265527,0.111751,-3.32103,0,0,-8.93589,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:17,12:45","11,321,211"
11,2342,0.562979,-0.346747,0.81743,0.534737,-0.329133,0.865136,35.9719,38.9683,-2.93226,-4.72382,-0.684836,0,0,-0.351122,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:47","11,211,0"
11,812,-0.536848,-0.43404,0.875336,-0.55022,-0.480839,0.937281,37.9405,38.2621,0.271558,-0.272362,-4.62394,0,0,-0.775548,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,321,211"
11,1479,-0.596043,0.316274,0.857017,-0.725571,0.295092,0.971261,38.8848,38.2145,-1.07782,-2.07234,-4.47601,0,0,-6.00071,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:54","11,321,211"
